"DATE","WS_2","WS_3","YEAR"
1964-01-12,0,0,"1964"
1964-01-13,5.8,6.6,"1964"
1964-01-14,2.5,2.8,"1964"
1964-01-15,0,0,"1964"
1964-01-16,0,0,"1964"
1964-01-17,0,0,"1964"
1964-01-18,0,0,"1964"
1964-01-19,0,0,"1964"
1964-01-20,5.8,5.6,"1964"
1964-01-21,14,13.7,"1964"
1964-01-22,0,0,"1964"
1964-01-23,0,0,"1964"
1964-01-24,0,0,"1964"
1964-01-25,35.6,34.5,"1964"
1964-01-26,1,1,"1964"
1964-01-27,0,0,"1964"
1964-01-28,6.6,7.6,"1964"
1964-01-29,0,0,"1964"
1964-01-30,0,0,"1964"
1964-01-31,0,0,"1964"
1964-02-01,4.8,5.8,"1964"
1964-02-02,1.5,1.8,"1964"
1964-02-03,0,0,"1964"
1964-02-04,0,0,"1964"
1964-02-05,4.6,4.1,"1964"
1964-02-06,1,0.8,"1964"
1964-02-07,3.3,3,"1964"
1964-02-08,0,0,"1964"
1964-02-09,0,0,"1964"
1964-02-10,0,0,"1964"
1964-02-11,0,0,"1964"
1964-02-12,0,0,"1964"
1964-02-13,2,1.8,"1964"
1964-02-14,1,1,"1964"
1964-02-15,19.8,20.1,"1964"
1964-02-16,0,0,"1964"
1964-02-17,0,0,"1964"
1964-02-18,0,0,"1964"
1964-02-19,0,0,"1964"
1964-02-20,0,0,"1964"
1964-02-21,0.3,1,"1964"
1964-02-22,0,0,"1964"
1964-02-23,0,0,"1964"
1964-02-24,1,1,"1964"
1964-02-25,0,0,"1964"
1964-02-26,2.8,2,"1964"
1964-02-27,1,1,"1964"
1964-02-28,0,0,"1964"
